"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25242806917637","6.39062697539048","5.9694164857835","6.63566571309151","6.7107343667265","6.52809817311635","6.4925062928699","6.46848312689805","6.29964345330423","6.88151175022846","6.92289055676569","6.77397884455041","6.56279403775494","6.56568915774397","6.15206282702446","6.48226262526747","6.39065399147889","6.31765395187056","6.28682941150035","6.26638563294956","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44338989","8.94125843","9.80847359","9.94828987","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190681","7.89717579","8.80594063","9.52887058","10.10534763","11.81856155","12.62081718","14.12674332","13.24220181","","",
"Africa Western and Central","AFW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7713018275025","3.77025616289662","3.38763371674583","4.6810989471521","4.48188179834898","4.27726242382638","4.13957816460065","3.90845961252589","3.73159127154031","3.78679150758727","3.52173885459721","3.55067651965716","3.50506498977229","3.62192500733624","3.61474912313938","3.83467591243256","3.81124842143631","3.78962437986776","3.39316031669726","3.36609966131541","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90859938","4.48351622","3.32946134","3.54797316","3.96720099","2.85219693","2.68553662","2.97438812","3.32290483","3.84260869","2.69510007","2.64560795","2.39574957","2.73282766","2.43412852","2.60579491","2.71314907","2.79150295","2.54010224","2.53335953","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2333703","7.13952398","6.90934134","7.06348991","6.77337217","6.33554173","6.00927734","6.31683397","5.1390624","4.6022253","4.7457962","4.79534149","5.05526543","5.38561106","5.50347328","4.89631176","4.91601658","5.01263571","5.23207188","","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.96051121","5.86593914","6.09839916","5.63991785","5.38125277","5.73988628","5.06450415","5.0283227","5.78568554","6.23957682","6.58006001","6.08633614","6.12628031","6.15502787","6.13150549","6.28353453","6.30526257","6.58945513","6.75162506","6.71158504","","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00092337012268","4.28449784165919","4.2664287439806","4.14622216699596","3.8310611080057","3.51228002721846","3.4803942772956","3.58343356353855","3.40916667003455","4.30417062420096","3.90703088992957","3.918381137731","3.98692041024975","4.24153787082322","4.56197066905448","5.10332978381029","5.05578361869039","5.30841638425617","5.05073565656068","5.0855418360052","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37413526","2.48437047","2.71770859","2.64634395","2.46204352","2.32019687","2.3254137","2.56569624","2.92847776","4.04999352","3.87874508","3.67007303","3.42520428","3.59299517","3.63020945","3.58359432","3.46601534","4.05959463","4.14545679","4.27504921","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2200098","8.37179756","7.3933115","6.89451599","7.22868299","7.61078882","7.64032841","7.83455086","8.18266869","9.45598793","9.44546986","9.41821575","9.82728195","9.78097343","9.67129135","10.22933865","9.00189686","10.44225502","9.66646481","9.5100708","","",
