;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Middle Gamma
0;433401;17535;13068;9074;3967;2363;956;23258
1;99278;81516;51826;2797;2059;4028;1797;31277
2;473846;30576;23601;6835;5368;8435;2337;10423
3;522854;36087;19903;14049;4077;1665;929;19296
4;1796034;1093844;394643;79953;13807;25071;27064;191609
5;1450769;919488;191140;115900;34984;65328;25633;282336
6;342606;386704;51339;61464;29158;37042;24505;54143
7;972790;37742;4232;11670;4323;1877;596;2650
8;58185;15206;1778;3563;1531;1645;538;6452
9;202970;71226;1088;1198;3686;2008;1799;17508
10;808112;248604;34754;24908;18629;12605;4187;53940
11;275017;96706;436;10069;7610;3072;2356;13133
12;268946;60340;16527;9743;5406;2519;3846;10169
13;268946;60340;16527;9743;5406;2519;3846;10169
14;270141;61840;5047;14046;7258;10937;2128;11752
15;1414609;302192;61493;49824;64869;38242;24988;45139
16;1233270;108203;51191;76568;26046;21337;8620;53789
17;91418;86297;65008;4636;7113;3675;1405;25645
18;861437;59181;15083;6421;1775;6244;3758;9790
19;861437;59181;15083;6421;1775;6244;3758;9790
20;139568;25233;30065;7676;6257;8820;3689;7395
21;190617;26424;4602;2333;4331;2511;2038;10045
22;831493;2200391;83758;264134;143220;282649;78995;145422
23;92026;70788;3222;9145;7832;15160;3171;7543
24;1500131;13136;20585;4164;5942;5331;1521;4536
25;640650;305592;31024;15288;11596;26274;18878;48469
26;672473;65113;5194;5027;16191;8116;6356;16337
27;1064069;277438;22228;14323;15312;8724;8287;35726
28;933149;32635;2095;3014;5927;3565;2142;7843
29;1058368;67038;59590;7937;31788;19978;5379;15549
30;1476091;336995;9772;20130;54119;24192;10922;41826
31;43832;9187;636;565;689;1261;332;3310
32;43832;9187;636;565;689;1261;332;3310
33;202062;12418;22860;2540;2900;1840;2054;15075
34;112251;56032;12313;5917;4860;2646;1253;18673
35;15463;6044;953;2122;745;421;308;1924
36;319920;36201;5755;10602;2778;1943;1563;7437
37;98375;77992;26705;17154;14761;4675;8061;5388
38;625597;252202;20075;27758;21855;22724;8055;18807
39;625597;252202;20075;27758;21855;22724;8055;18807
40;189850;25121;12201;10676;1612;1447;1282;13500
41;411474;56633;13223;6351;4776;2567;1545;24414
42;206468;70200;18729;2129;1282;2164;338;8681
43;623756;50748;18086;5406;4349;5775;1857;8175
44;982374;102728;14784;7108;6419;9574;2522;10042
45;886708;142395;23491;78806;26111;14232;5461;55547
46;644307;131710;39164;47033;50445;19987;4595;60994
47;510083;486193;54402;31480;34156;27635;13598;62919
48;1190826;373960;69525;28628;49728;24479;13625;92840
49;1845906;202706;50389;81977;29398;21841;19113;67055
50;110405;7773;3972;917;1894;1562;393;3994
51;354264;89775;22474;9527;18519;8345;2202;15239
52;739726;45943;3036;6035;9595;7610;1150;21363
53;1041352;1426391;361010;84537;62410;54187;57821;261759
54;113592;45519;19341;28609;10189;6856;3257;19428
55;1001774;237739;99460;54018;17697;26276;39125;65120
56;858171;45126;11185;17492;6725;11912;3110;37172
57;1060564;155148;108120;12652;21231;17694;10766;70631
58;1696154;307383;32810;31630;21351;19549;15978;29821
59;1696154;307383;32810;31630;21351;19549;15978;29821
60;1121078;174005;52634;84398;65218;26929;30172;41087
61;1064400;331630;130053;95295;120169;69075;33201;16866
62;978630;217015;65538;52386;36870;107605;64184;37162
63;1209399;751433;83216;36146;97454;108870;49394;42845
64;663826;128790;36887;46966;28142;34108;21822;42581
65;387321;50769;21634;11070;12452;10048;4261;13309
66;1129298;121837;30259;17553;16479;9861;12023;40006
67;464738;47725;16312;20169;11063;7859;3834;10211
68;2039092;414879;160309;59561;118079;39512;24938;210033
69;1075530;118598;38133;3624;24300;10552;8213;43142
70;578046;85286;95231;16866;12638;12456;3514;41305
71;123078;57283;12204;8039;3703;4974;2806;11123
72;1712329;1782814;230238;305561;48252;68849;92412;134743
