ID,CPU_LOAD,MEMORY_LEAK_LOAD,DELAY,ERROR_1000,ERROR_1001,ERROR_1002,ERROR_1003,ROOT_CAUSE
1,0,0,0,0,1,0,1,MEMORY_LEAK
2,0,0,0,0,0,0,1,MEMORY_LEAK
3,0,1,1,0,0,1,1,MEMORY_LEAK
4,0,1,0,1,1,0,1,MEMORY_LEAK
5,1,1,0,1,0,1,0,NETWORK_DELAY
6,0,0,1,1,0,0,0,NETWORK_DELAY
7,1,0,0,1,1,0,0,NETWORK_DELAY
8,0,0,0,1,1,0,1,DATABASE_ISSUE
9,0,1,0,0,1,0,1,MEMORY_LEAK
10,0,0,0,1,1,0,1,NETWORK_DELAY
11,1,0,0,0,0,0,1,MEMORY_LEAK
12,1,0,1,0,0,0,0,DATABASE_ISSUE
13,0,1,0,0,0,1,1,MEMORY_LEAK
14,0,1,1,0,0,1,0,DATABASE_ISSUE
15,1,0,1,0,1,0,0,NETWORK_DELAY
16,1,0,0,0,1,0,1,MEMORY_LEAK
17,0,1,0,0,0,1,1,MEMORY_LEAK
18,0,1,0,1,0,0,1,MEMORY_LEAK
19,0,1,1,0,0,1,0,NETWORK_DELAY
20,0,1,0,0,0,0,0,MEMORY_LEAK
21,0,1,1,1,1,0,0,NETWORK_DELAY
22,1,0,0,0,0,0,0,MEMORY_LEAK
23,1,1,0,0,1,0,1,MEMORY_LEAK
24,0,1,1,0,0,0,1,MEMORY_LEAK
25,0,0,1,1,1,0,0,NETWORK_DELAY
26,0,1,0,0,0,1,1,MEMORY_LEAK
27,0,1,0,0,0,0,1,MEMORY_LEAK
28,0,0,1,0,0,1,0,NETWORK_DELAY
29,0,0,1,1,0,1,0,NETWORK_DELAY
30,0,0,0,0,0,0,1,MEMORY_LEAK
31,1,1,0,0,0,0,0,DATABASE_ISSUE
32,1,1,1,0,0,1,1,MEMORY_LEAK
33,1,1,0,0,0,1,1,MEMORY_LEAK
34,1,1,1,1,0,0,0,NETWORK_DELAY
35,0,0,0,0,0,0,1,MEMORY_LEAK
36,1,0,0,1,1,1,1,DATABASE_ISSUE
37,0,1,1,0,0,0,1,MEMORY_LEAK
38,1,0,1,0,0,1,0,DATABASE_ISSUE
39,1,0,0,1,1,1,0,DATABASE_ISSUE
40,0,0,1,1,1,0,0,NETWORK_DELAY
41,1,0,0,0,1,0,1,NETWORK_DELAY
42,1,0,1,0,0,1,0,DATABASE_ISSUE
43,0,0,0,0,0,1,0,MEMORY_LEAK
44,1,0,0,0,1,1,0,DATABASE_ISSUE
45,0,1,1,1,1,0,0,NETWORK_DELAY
46,0,0,1,0,0,0,0,NETWORK_DELAY
47,0,1,0,1,1,0,0,NETWORK_DELAY
48,1,1,1,1,1,1,0,DATABASE_ISSUE
49,0,0,1,0,0,0,0,NETWORK_DELAY
50,1,0,0,0,0,1,0,DATABASE_ISSUE
51,0,0,0,0,0,0,1,MEMORY_LEAK
52,1,0,0,1,1,1,1,DATABASE_ISSUE
53,1,0,0,0,0,1,0,DATABASE_ISSUE
54,1,0,0,0,1,1,1,DATABASE_ISSUE
55,0,0,1,1,1,0,0,NETWORK_DELAY
56,0,1,0,1,0,1,0,MEMORY_LEAK
57,0,0,1,0,1,0,1,NETWORK_DELAY
58,0,1,1,1,0,0,1,MEMORY_LEAK
59,1,0,0,0,0,1,0,DATABASE_ISSUE
60,1,0,0,0,1,1,0,DATABASE_ISSUE
61,0,0,1,1,1,0,0,NETWORK_DELAY
62,1,1,0,0,0,1,1,MEMORY_LEAK
63,1,0,0,0,0,1,0,DATABASE_ISSUE
64,0,1,0,0,0,1,1,MEMORY_LEAK
65,0,1,1,1,0,1,1,NETWORK_DELAY
66,0,0,0,0,0,0,1,MEMORY_LEAK
67,1,1,0,1,0,1,0,DATABASE_ISSUE
68,1,0,0,0,0,1,1,DATABASE_ISSUE
69,0,1,0,0,0,1,1,MEMORY_LEAK
70,0,0,1,1,0,0,0,NETWORK_DELAY
71,1,1,0,1,1,0,1,MEMORY_LEAK
72,1,1,1,0,0,1,0,DATABASE_ISSUE
73,0,1,0,0,0,0,1,MEMORY_LEAK
74,1,1,0,0,1,0,1,DATABASE_ISSUE
75,0,0,1,1,1,0,0,NETWORK_DELAY
76,0,1,0,0,0,0,1,MEMORY_LEAK
77,1,1,1,1,0,0,0,NETWORK_DELAY
78,1,0,1,1,1,0,0,NETWORK_DELAY
79,1,0,1,1,1,0,0,NETWORK_DELAY
80,0,0,1,1,0,0,0,NETWORK_DELAY
81,1,0,1,1,1,0,0,NETWORK_DELAY
82,1,1,0,1,0,1,1,MEMORY_LEAK
83,0,0,1,1,1,0,0,NETWORK_DELAY
84,0,1,1,0,1,0,1,MEMORY_LEAK
85,1,0,0,1,0,0,0,NETWORK_DELAY
86,0,0,1,0,0,1,0,NETWORK_DELAY
87,1,1,0,0,0,1,0,DATABASE_ISSUE
88,0,1,0,1,1,0,1,MEMORY_LEAK
89,0,1,1,0,1,1,1,MEMORY_LEAK
90,1,0,0,0,0,1,0,DATABASE_ISSUE
91,0,1,0,0,1,0,1,MEMORY_LEAK
92,0,0,0,0,1,0,0,MEMORY_LEAK
93,0,1,1,0,1,0,1,MEMORY_LEAK
94,0,1,0,0,0,0,0,MEMORY_LEAK
95,0,1,0,0,1,0,1,MEMORY_LEAK
96,0,0,1,1,1,0,0,NETWORK_DELAY
97,1,0,0,0,0,0,0,DATABASE_ISSUE
98,0,0,0,0,0,0,0,MEMORY_LEAK
99,1,1,0,1,0,1,1,MEMORY_LEAK
100,1,1,0,0,1,1,0,MEMORY_LEAK
101,0,1,0,0,0,0,1,MEMORY_LEAK
102,0,1,0,1,0,1,1,MEMORY_LEAK
103,0,0,0,0,0,0,0,NETWORK_DELAY
104,1,0,0,0,1,1,0,DATABASE_ISSUE
105,0,0,0,1,0,0,1,MEMORY_LEAK
106,0,0,1,1,1,0,0,NETWORK_DELAY
107,0,0,1,1,0,0,0,NETWORK_DELAY
108,1,1,0,0,0,1,0,DATABASE_ISSUE
109,1,0,0,0,0,1,0,DATABASE_ISSUE
110,1,1,1,0,1,0,1,MEMORY_LEAK
111,0,0,1,1,0,1,0,NETWORK_DELAY
112,0,0,1,1,0,0,0,NETWORK_DELAY
113,0,1,0,0,1,0,0,NETWORK_DELAY
114,1,1,0,0,1,1,0,DATABASE_ISSUE
115,1,1,1,0,0,1,0,DATABASE_ISSUE
116,1,0,0,0,1,1,0,DATABASE_ISSUE
117,0,1,0,0,0,0,0,MEMORY_LEAK
118,0,0,0,0,1,0,1,MEMORY_LEAK
